judul;tanggal;penulis;isi_;url
TKD Prabowo-Gibran Laporkan Bawaslu Batam ke Polisi,  Rahmat Bagja Singgung Peraturan KPU;Rabu, 3 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta - Ketua Badan Pengawas Pemilihan Umum (Bawaslu), Rahmat Bagja, menghormati langkah Tim Kampanye Daerah (TKD) Prabowo-Gibran Kepulauan Riau untuk membuat laporan ke polisi soal pencopotan baliho pasangan calon presiden dan calon wakil presiden itu di Monumen Welcome to Batam. Bagja menilai langkah yang dilakukan Bawaslu Kepulauan Riau mencopot baliho itu sudah tepat.;https://pemilu.tempo.co/read/1816708/tkd-prabowo-gibran-laporkan-bawaslu-batam-ke-polisirahmat-bagja-singgung-peraturan-kpu
Satpol PP Garut Dukung Gibran Rakabuming, Mahfud Md Curiga ada Aktor yang Mendorong;Rabu, 3 Januari 2024;Sultan Abdurrahman;TEMPO.CO, Jakarta - Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Mahfud Md angkat bicara soal video viral sejumlah anggota Satuan Polisi Pamong Praja (Satpol PP) Garut yang menyatakan dukungan kepada calon wakil presiden Gibran Rakabuming Raka. Mahfud mencurigai adanya aktor yang mendorong mereka untuk menyatakan dukungan dan menyebarkan video itu di media sosial.;https://pemilu.tempo.co/read/1816666/satpol-pp-garut-dukung-gibran-rakabuming-mahfud-md-curiga-ada-aktor-yang-mendorong
Anies Baswedan Tanggapi Permintaan Agar Tidak Tebar Banyak Janji: Anda yang Rugi;Rabu, 3 Januari 2024;Tika Ayu;TEMPO.CO, Jakarta - Calon presiden Anies Baswedan mendapatkan permintaan agar tidak banyak menebar janji dalam acara Desak Anies di Sumatera Barat, hari ini, Rabu, 3 Januari 2024. Anies pun menjawab permintaan itu dengan menyatakan bahwa jika politikus tidak memberikan janji, maka masyarakat yang akan merugi.;https://pemilu.tempo.co/read/1816657/anies-baswedan-tanggapi-permintaan-agar-tidak-tebar-banyak-janji-anda-yang-rugi
LBH Yusuf Somasi Ketua Bawaslu Karena Tak Tindak Lanjuti Laporan soal Gibran dan Zulhas;Rabu, 3 Januari 2024;Sultan Abdurrahman;TEMPO.CO, Jakarta - Sejumlah pengacara yang tergabung dalam Lembaga Bantuan Hukum (LBH) Yusuf melayangkan somasi terhadap Ketua Badan Pengawas Pemilu atau Bawaslu, Rahmat Bagja. Menurut salah satu advokat LBH Yusuf, Said Kemal Zulifi, hal tersebut karena lembaga pengawas tersebut tidak menindaklanjuti empat laporan pelanggaran Pemilihan Umum (Pemilu) 2024 yang diajukan klien mereka.;https://pemilu.tempo.co/read/1816430/lbh-yusuf-somasi-ketua-bawaslu-karena-tak-tindak-lanjuti-laporan-soal-gibran-dan-zulhas
Bakal Gunakan 1 Mikrofon di Debat Capres Ketiga, Ini Kilas Balik Polemik 3 Mikrofon;Kamis, 4 Januari 2024;Hendrik Khoirul Muhid;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) akan menggunakan satu mikrofon atau mik dalam debat capres ketiga pada Ahad mendatang, 7 Januari 2023. Keputusan tersebut diambil setelah penggunaan tiga mik saat debat kedua menuai polemik.;https://pemilu.tempo.co/read/1817164/bakal-gunakan-1-mikrofon-di-debat-capres-ketiga-ini-kilas-balik-polemik-3-mikrofon
Digelar 7 Januari 2024, Inilah 3 Perubahan Teknis Debat Capres Ketiga;Kamis, 4 Januari 2024;Hendrik Khoirul Muhid;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) mengubah sejumlah teknis dalam debat capres ketiga yang akan digelar pada Ahad, 7 Januari 2024. Debat capres kali ini bakal berbeda dengan dua agenda debat sebelumnya.;https://pemilu.tempo.co/read/1817150/digelar-7-januari-2024-inilah-3-perubahan-teknis-debat-capres-ketiga
Bawaslu Temukan 204 Konten Internet Langgar Aturan selama Masa Kampanye;Kamis, 4 Januari 2024;Antara;TEMPO.CO, Jakarta - Badan Pengawas Pemilu (Bawaslu) RI menemukan 204 konten internet melanggar ketentuan dalam UU Pemilu dan UU ITE selama masa kampanye Pemilu 2024. Anggota Bawaslu RI Lolly Suhenty mengatakan temuan ini berasal dari pengawasan siber, penelusuran melalui Intelligent Media Monitoring (IMM) Bawaslu dan analisis aduan masyarakat.;https://pemilu.tempo.co/read/1817043/bawaslu-temukan-204-konten-internet-langgar-aturan-selama-masa-kampanye
Anies Baswedan Kunjungi Gorontalo Pekan Depan, Dijadwalkan Bertemu Petani;Kamis, 4 Januari 2024;Budhy Nurgianto;TEMPO.CO, Gorontalo - Calon Presiden Anies Baswedan dijadwalkan akan bertemu petani saat mengunjungi Provinsi Gorontalo pada Senin 8 Januari 2024 mendatang. Pertemuan itu dilakukan sebagai upaya mendengar dan mengidentifikasi persoalan di sektor pertanian yang terjadi di Gorontalo.;https://pemilu.tempo.co/read/1816987/anies-baswedan-kunjungi-gorontalo-pekan-depan-dijadwalkan-bertemu-petani
Apa Tugas Pengawas TPS, Berapa Gaji Panwaslu?;Kamis, 4 Januari 2024;Muhammad Rafi Azhari;TEMPO.CO, Jakarta - Pemilu 2024 semakin mendekat, dan kesuksesan pelaksanaannya bergantung pada peran penting Pengawas Tempat Pemungutan Suara (TPS).;https://pemilu.tempo.co/read/1816972/apa-tugas-pengawas-tps-berapa-gaji-panwaslu
PDIP Kota Solo dan Mahfud Md Buka Suara soal Simulasi Surat Suara Pilpres Hanya Dua Kolom;Kamis, 4 Januari 2024;Septia Ryanthie;TEMPO.CO, Jakarta - Partai Demokrasi Indonesia Perjuangan (PDIP) Kota Solo dan Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menkopolhukam) yang juga sebagai calon wakil presiden, Mahfud Md, buka suara soal desain surat suara untuk simulasi pelaksanaan Pemilihan Presiden (Pilpres) 2024 yang hanya terdapat dua kolom.;https://pemilu.tempo.co/read/1816941/pdip-kota-solo-dan-mahfud-md-buka-suara-soal-simulasi-surat-suara-pilpres-hanya-dua-kolom
Soal Provokasi Gibran Rakabuming, Komisioner KPU: Tidak Relevan Bicara Itu;Kamis, 4 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta - Komisioner Komisi Pemilihan Umum (KPU) August Mellaz, enggan menanggapi pertanyaan soal hasil evaluasi yang dilakukan pihaknya terhadap aksi provokasi oleh calon wakil presiden (cawapres) Gibran Rakabuming Raka pada debat cawapres 22 Desember lalu.  August menyatakan tak relevan berbicara soal itu.;https://pemilu.tempo.co/read/1816870/soal-provokasi-gibran-rakabuming-komisioner-kpu-tidak-relevan-bicara-itu
Inilah Daftar 11 Panelis Debat Capres Ketiga;Jumat, 5 Januari 2024;Adinda Alya Izdihar;TEMPO.CO, Jakarta - Debat capres ketiga akan digelar pada Ahad, 7 Januari 2024, di Istora Senayan, Jakarta. Komisioner KPU August Mellaz mengatakan tema debat diperluas dengan adanya tema tambahan seperti globalisasi, geopolitik, dan politik luar negeri, yang awalnya menjadi satu kesatuan sebagai tema hubungan internasional.;https://pemilu.tempo.co/read/1817619/inilah-daftar-11-panelis-debat-capres-ketiga
Alasan TKN Minta TKD Kepri Cabut Laporan Polisi soal Baliho Prabowo-Gibran di Batam;Jumat, 5 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta - Tim Kampanye Nasional (TKN) Prabowo Subianto - Gibran Rakabuming Raka meminta Tim Kampanye Daerah (TKD) Kepulauan Riau (Kepri) untuk mencabut laporan polisi terhadap Ketua Badan Pengawas Pemilihan Umum (Bawaslu) Batam dan Ketua Bawaslu Kepri terkait pencopotan baliho Prabowo-Gibran.;https://pemilu.tempo.co/read/1817447/alasan-tkn-minta-tkd-kepri-cabut-laporan-polisi-soal-baliho-prabowo-gibran-di-batam
Bawaslu Jakpus Putuskan Gibran Langgar Aturan Bagi-bagi Susu di CFD, Ini Kronologinya;Jumat, 5 Januari 2024;Rachel Farahdiba Regar;TEMPO.CO, Jakarta - Bawaslu Jakarta Pusat merekomendasikan agar Bawaslu DKI Jakarta menindaklanjuti temuan mereka soal kegiatan Gibran bagi-bagi susu di CFD atau car free day. Surat Pemberitahuan tentang Status Temuan itu ditempelkan di papan pengumuman kantor Bawaslu Jakarta Pusat pada Rabu, 3 Januari 2024. Bawaslu Jakarta Pusat telah selesai mengusut kasus Gibran setelah meminta klarifikasi dari sejumlah pihak.;https://pemilu.tempo.co/read/1817418/bawaslu-jakpus-putuskan-gibran-langgar-aturan-bagi-bagi-susu-di-cfd-ini-kronologinya
Satpol PP Garut Dukung Gibran, Begini Respons Ganjar dan Anies;Jumat, 5 Januari 2024;Tika Ayu;TEMPO.CO, Jakarta - Calon presiden (capres) nomor urut satu Anies Baswedan dan capres nomor urut tiga Ganjar Pranowo buka suara terkait beredarnya video dukungan para anggota Satpol PP Garut kepada Gibran Rakabuming Raka sebagai calon wakil presiden nomor urut dua.;https://pemilu.tempo.co/read/1817414/satpol-pp-garut-dukung-gibran-begini-respons-ganjar-dan-anies
Inilah 5 Kota dengan DPT Luar Negeri Terbanyak di Pemilu 2024;Jumat, 5 Januari 2024;Ananda Ridho Sulistya;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) melaporkan daftar pemilih tetap luar negeri (DPT Luar Negeri) di Pemilu 2024 ada sebanyak 1.750.474 jiwa. Lantas, negara atau kota mana saja yang memiliki DPTLN paling banyak?;https://pemilu.tempo.co/read/1817404/inilah-5-kota-dengan-dpt-luar-negeri-terbanyak-di-pemilu-2024
Alasan Anies Baswedan Lebih Suka Kegiatan Desak Anies daripada Memasang Alat Peraga Kampanye Berlebihan;Jumat, 5 Januari 2024;Tempo.co;TEMPO.CO, Jakarta - Calon presiden nomor urut 1 Anies Rasyid Baswedan mengaku memilih mengedepankan dialog langsung dengan masyarakat daripada memasang alat peraga kampanye (APK) secara berlebihan saat kampanye.;https://pemilu.tempo.co/read/1817354/alasan-anies-baswedan-lebih-suka-kegiatan-desak-anies-daripada-memasang-alat-peraga-kampanye-berlebihan
Pelanggaran PPLN Taipei, Panwaslu: Ada Niat Baik yang Tidak Cermat;Jumat, 5 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta -;https://pemilu.tempo.co/read/1817323/pelanggaran-ppln-taipei-panwaslu-ada-niat-baik-yang-tidak-cermat
Ketua Bawaslu Minta KPU Berikan Akses Penuh untuk Awasi Debat Pilpres 2024;Sabtu, 6 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta -Badan Pengawas Pemilihan Umum atau Bawaslu meminta Komisi Pemilihan Umum memberikan akses pengawasan kepada lembaganya dan penyempurnaan tata tertib dalam debat capres di Istora, Senayan, Jakarta Pusat, pada Ahad, 7 Januari 2024.;https://pemilu.tempo.co/read/1817979/ketua-bawaslu-minta-kpu-berikan-akses-penuh-untuk-awasi-debat-pilpres-2024
Memahami Soal Geopolitik Indonesia Salah Satu Tema Dalam Debat Capres 7 Januari 2024;Sabtu, 6 Januari 2024;Muhammad Rafi Azhari;TEMPO.CO, Jakarta - Salah satu tema yang akan menjadi pusat perhatian dalam debat capres pada 7 Januari 2024 mengenai tema geopolitik Indonesia.;https://pemilu.tempo.co/read/1817956/memahami-soal-geopolitik-indonesia-salah-satu-tema-dalam-debat-capres-7-januari-2024
Besok Batas Akhir Laporan Dana Kampanye Parpol ke KPU, Apa Sanksi Jika Tak Berikan Laporan?;Sabtu, 6 Januari 2024;Hendrik Khoirul Muhid;TEMPO.CO, Jakarta - Komisi Pemilihan Umum atau KPU telah menetapkan batas akhir penyampaian Laporan Awal Dana Kampanye (LADK) partai politik atau Parpol pada Ahad, 7 Januari 2024, pukul 23.59. Penetapan tersebut disampaikan Anggota KPU Idham Holik berdasarkan Peraturan KPU Nomor 18 Tahun 2023 tentang Dana Kampanye Pemilihan Umum atau Pemilu.;https://pemilu.tempo.co/read/1817897/besok-batas-akhir-laporan-dana-kampanye-parpol-ke-kpu-apa-sanksi-jika-tak-berikan-laporan
Kontroversi Baliho Prabowo-Gibran di Batam, Ini Syarat Pasang Baliho Peserta Pemilu 2024;Sabtu, 6 Januari 2024;Putri Safira Pitaloka;TEMPO.CO, Jakarta - Pemasangan baliho Prabowo-Gibran di landmark Kota Batam, tulisan Welcome to Batam, menuai kontroversi setelah Badan Pengawas Pemilihan Umum (Bawaslu) mencopotnya.;https://pemilu.tempo.co/read/1817847/kontroversi-baliho-prabowo-gibran-di-batam-ini-syarat-pasang-baliho-peserta-pemilu-2024
Pemilu 2024 Sudah Dekat, Kenali Apa Itu PPS dan Tugasnya;Sabtu, 6 Januari 2024;Putri Safira Pitaloka;TEMPO.CO, Jakarta - Pemilu 2024 yang akan diselenggarakan pada tanggal 14 Februari semakin mendekat, dan dalam persiapan penyelenggaraannya, Panitia Pemungutan Suara (PPS) menjadi elemen kunci dalam menjaga keberlangsungan proses demokrasi di tingkat kelurahan/desa.;https://pemilu.tempo.co/read/1817840/pemilu-2024-sudah-dekat-kenali-apa-itu-pps-dan-tugasnya
Cak Imin Kritik Dua Panelis Debat Capres dari Unhan, Ini Tanggapan KPU dan Jubir Prabowo;Sabtu, 6 Januari 2024;Sultan Abdurrahman;TEMPO.CO, Jakarta - Calon wakil presiden nomor urut satu, Muhaimin Iskandar alias Cak Imin, mengkritik keberadaan dua panelis debat kedua calon presiden (capres) yang berasal dari Universitas Pertahanan (Unhan).;https://pemilu.tempo.co/read/1817835/cak-imin-kritik-dua-panelis-debat-capres-dari-unhan-ini-tanggapan-kpu-dan-jubir-prabowo
Bawaslu Disebut Bisa Beri Sanksi Kepada Gibran Rakabuming Raka;Minggu, 7 Januari 2024;Antara;TEMPO.CO, Jakarta -  Peneliti Perkumpulan untuk Pemilu dan Demokrasi (Perludem), Kahfi Adlan Hafiz, menilai Badan Pengawas Pemilu bisa memberikan sanksi kepada Calon Wakil Presiden Gibran Rakabuming Raka dalam kasus bagi-bagi susu pada hari bebeas kendaraan bermotor atau car free day di Jakarta 3 Desember 20023. Sanksi kepada Gibran, menurut Kahfi, bisa dilakukan karena kegiatan itu mengikutsertakan anak-anak.;https://pemilu.tempo.co/read/1818247/bawaslu-disebut-bisa-beri-sanksi-kepada-gibran-rakabuming-raka
Debat Capres Ketiga Lokasi Berpindah ke Istora Senayan, Apa Alasan KPU?;Minggu, 7 Januari 2024;Rachel Farahdiba Regar;TEMPO.CO, Jakarta - Pada Ahad, 7 Januari 2024, Komisi Pemilihan Umum (KPU) melangsung debat capres cawapres ketiga yang akan diikuti oleh ketiga capres, yaitu Anies Baswedan, Prabowo Subianto, dan Ganjar Pranowo. Tema debat capres putaran ketiga ini akan membahas isu pertahanan, keamanan, hubungan internasional, globalisasi, geopolitik, dan politik luar negeri.;https://pemilu.tempo.co/read/1818084/debat-capres-ketiga-lokasi-berpindah-ke-istora-senayan-apa-alasan-kpu
Bawaslu Temukan Banyak Masalah Distribusi Logistik Pemilu 2024, Kerusakan hingga Pembongkaran Tidak Resmi;Senin, 8 Januari 2024;Ihsan Reliubun;TEMPO.CO, Jakarta - Badan Pengawas Pemilihan Umum atau Bawaslu menemukan sejumlah masalah pada pendistribusian logistik untuk Pemilihan Umum (Pemilu) 2024. Masalah distribusi logistik yang dilakukan oleh Komisi Pemilihan Umum (KPU) itu terjadi baik padai tahap I maupun tahap II.;https://pemilu.tempo.co/read/1818808/bawaslu-temukan-banyak-masalah-distribusi-logistik-pemilu-2024-kerusakan-hingga-pembongkaran-tidak-resmi
Tidak Ada Isu Papua di Debat Capres, Pengamat Hukum Nilai Semua Kandidat Tak Berempati;Senin, 8 Januari 2024;Yuni Rohmawati;TEMPO.CO, Jakarta - Pengamat Hukum Tata Negara Universitas Mulawarman, Herdiansyah Hamzah Castro,  sangat menyayangkan isu penyelesaian konflik Papua tidak dibahas secara mendalam dalam debat capres jilid kedua kemarin. Dia menilai semua kandidat seolah menghindari isu tersebut meskipun menjadi salah satu isu internasional yang sesuai dengan perspektif pertahanan keamanan.;https://pemilu.tempo.co/read/1818780/tidak-ada-isu-papua-di-debat-capres-pengamat-hukum-nilai-semua-kandidat-tak-berempati
Wakil Ketua TKN Sebut Anies Baswedan Serang Prabowo Subianto Secara Personal dalam Debat Capres;Senin, 8 Januari 2024;Antara;TEMPO.CO, Jakarta - Wakil Ketua Tim Kampanye Nasional (TKN) Prabowo Subianto -Gibran Rakabuming Raka, Akbar Himawan, menilai Anies Baswedan menyerang Prabowo secara personal dalam debat calon presiden (capres) pada Ahad malam kemarin. Dia menilai debat hanya menjadi ajang memamerkan gagasan serta visi misi setiap pasangan calon.;https://pemilu.tempo.co/read/1818688/wakil-ketua-tkn-sebut-anies-baswedan-serang-prabowo-subianto-secara-personal-dalam-debat-capres
Pasca Debat Capres, Anies Baswedan Kembali Singgung Soal Proyek Food Estate;Senin, 8 Januari 2024;Antara;TEMPO.CO, Jakarta - Calon Presiden (Capres) Anies Baswedan kembali menyinggung soal proyek lumbung pangan atau food estate dalam kampanyenya di Gorontalo, hari ini, Senin, 8 Januari 2024. Anies sebelumnya memantik perdebatan panas soal etika dalam proyek tersebut pada ajang debat capres Ahad malam kemarin, 7 Januari 2024.;https://pemilu.tempo.co/read/1818671/pasca-debat-capres-anies-baswedan-kembali-singgung-soal-proyek-food-estate
Ketum PSI Kaesang Pangarep Sebut Prabowo Subianto Lebih Baik dari 2 Kompetitornya dalam Debat Capres;Senin, 8 Januari 2024;Yogi Eka Sahputra;TEMPO.CO, Batam - Ketua Umum Partai Solidaritas Indonesia (PSI), Kaesang Pangarep, menilai performa Calon Presiden (Capres) Prabowo Subianto lebih baik dari dua kompetitornya dalam debat capres kemarin malam, Ahad, 7 Januari 2023. Menurut Kaesang, performa Prabowo.;https://pemilu.tempo.co/read/1818659/ketum-psi-kaesang-pangarep-sebut-prabowo-subianto-lebih-baik-dari-2-kompetitornya-dalam-debat-capres
Din Syamsuddin Puji Anies Baswedan dan Ganjar Pranowo dalam Debat Capres;Senin, 8 Januari 2024;Antara;TEMPO.CO, Jakarta - Tokoh Muhammadiyah Muhammad Sirajuddin Syamsuddin atau Din Syamsuddin memuji visi dan misi yang disampaikan Anies Baswedan dan Ganjar Pranowo dalam debat capres pada Ahad malam kemarin, 7 Januari 2024. Din menilai keduanya bisa menjadi penentu arah perubahan peradaban dunia di masa depan.;https://pemilu.tempo.co/read/1818623/din-syamsuddin-puji-anies-baswedan-dan-ganjar-pranowo-dalam-debat-capres
Inilah 10 Kota dengan DPT Luar Negeri Paling Sedikit di Pemilu 2024;Senin, 8 Januari 2024;Ananda Ridho Sulistya;TEMPO.CO, Jakarta - Komisi Pemilihan Umum (KPU) melaporkan daftar pemilih tetap luar negeri (DPT Luar Negeri) di Pemilu 2024 ada sebanyak 1.750.474 jiwa. Lantas, kota mana saja yang memiliki DPTLN paling sedikit?;https://pemilu.tempo.co/read/1817417/inilah-10-kota-dengan-dpt-luar-negeri-paling-sedikit-di-pemilu-2024
